ticker;method;fair_value;current_price;upside;confidence;dcf_value;peer_value_pe;peer_value_pfcf;peer_value_ev_ebitda;peer_count;assumptions
ABEV;hybrid_dcf_plus_comps;5,4438;2,86;0,903411;0,95;4,8963;4,0911;6,6789;6,9743;47;{'fcf_per_share': 0.2388, 'base_growth': 0.0622, 'discount_rate': 0.08, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
ADUR;hybrid_dcf_plus_comps;-5,0451;11,16;-1,4521;0,65;-4,3994;;;-7,1975;47;{'fcf_per_share': -0.329, 'base_growth': 0.06, 'discount_rate': 0.1087, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
ASML;hybrid_dcf_plus_comps;645,4292;1.345,69;-0,520373;0,95;454,4129;729,8543;923,5127;826,9472;47;{'fcf_per_share': 32.977, 'base_growth': 0.1348, 'discount_rate': 0.1202, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
ASTS;hybrid_dcf_plus_comps;-31,3256;86,34;-1,3628;0,65;-35,628;;;-16,9845;47;{'fcf_per_share': -3.8956, 'base_growth': 0.18, 'discount_rate': 0.18, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
BABA;hybrid_dcf_plus_comps;56,1974;135,21;-0,584369;0,95;3,5193;150,8513;4,4929;206,0768;47;{'fcf_per_share': 0.1603, 'base_growth': 0.0928, 'discount_rate': 0.08, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
BFLY;hybrid_dcf_plus_comps;-1,4203;3,8;-1,3738;0,65;-0,627963;;;-4,0613;47;{'fcf_per_share': -0.0633, 'base_growth': 0.18, 'discount_rate': 0.1682, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
BIDU;hybrid_dcf_plus_comps;-18,3238;124,07;-1,1477;0,8;-133,6038;178,1813;;169,4378;47;{'fcf_per_share': -6.3396, 'base_growth': 0.0744, 'discount_rate': 0.08, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
BROS;hybrid_dcf_plus_comps;13,8527;47,3;-0,707131;0,95;4,586;19,5358;11,9909;41,5409;47;{'fcf_per_share': 0.4283, 'base_growth': 0.18, 'discount_rate': 0.1581, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
COPX;hybrid_dcf_plus_comps;;76,39;;0,21;;;;;8;{}
COST;hybrid_dcf_plus_comps;453,5473;1.008,43;-0,550244;0,95;337,2359;461,3732;574,2534;672,4846;47;{'fcf_per_share': 20.5117, 'base_growth': 0.0759, 'discount_rate': 0.0956, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
EEM;hybrid_dcf_plus_comps;;56,8;;0,21;;;;;8;{}
EWY;hybrid_dcf_plus_comps;;124,15;;0,21;;;;;8;{}
EWZ;hybrid_dcf_plus_comps;;35,49;;0,21;;;;;8;{}
IBRX;hybrid_dcf_plus_comps;-7,3988;8,39;-1,8819;0,65;-7,9413;;;-5,5903;47;{'fcf_per_share': -0.2998, 'base_growth': 0.18, 'discount_rate': 0.08, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
INDA;hybrid_dcf_plus_comps;;48,06;;0,21;;;;;8;{}
IREN;hybrid_dcf_plus_comps;-26,9415;41,58;-1,6479;0,65;-38,2587;;;10,7824;47;{'fcf_per_share': -4.1832, 'base_growth': 0.18, 'discount_rate': 0.18, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
ISRG;hybrid_dcf_plus_comps;147,994;472,16;-0,68656;0,95;82,8898;217,4421;196,3827;231,0419;47;{'fcf_per_share': 7.0115, 'base_growth': 0.1307, 'discount_rate': 0.1347, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
MELI;hybrid_dcf_plus_comps;3.362,16;1.670;1,0133;0,95;3.498,98;1.220,58;5.949,11;1.598,39;47;{'fcf_per_share': 212.426, 'base_growth': 0.18, 'discount_rate': 0.1126, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
MSFT;hybrid_dcf_plus_comps;288,0125;395,55;-0,271868;0,95;194,732;380,809;291,9188;500,9424;47;{'fcf_per_share': 10.4186, 'base_growth': 0.1643, 'discount_rate': 0.1, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
NBIS;hybrid_dcf_plus_comps;-246,1563;112,95;-3,1793;0,65;-313,6848;;;-21,061;47;{'fcf_per_share': -14.5443, 'base_growth': 0.18, 'discount_rate': 0.0923, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
NFLX;hybrid_dcf_plus_comps;45,7386;95,31;-0,520107;0,95;25,7406;67,9667;62,7482;67,4914;47;{'fcf_per_share': 2.2417, 'base_growth': 0.1082, 'discount_rate': 0.1328, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
NTR;hybrid_dcf_plus_comps;109,4983;82,85;0,321646;0,95;68,4721;117,66;124,9892;217,4363;47;{'fcf_per_share': 4.4686, 'base_growth': 0.02, 'discount_rate': 0.0918, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
NU;hybrid_dcf_plus_comps;-19,132;13,89;-2,3774;0,65;-30,3819;18,3676;;;47;{'fcf_per_share': -1.928, 'base_growth': 0.06, 'discount_rate': 0.0961, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
ONDS;hybrid_dcf_plus_comps;-0,90669;10,16;-1,0892;0,65;-0,858578;;;-1,0671;47;{'fcf_per_share': -0.0939, 'base_growth': 0.18, 'discount_rate': 0.18, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
OSCR;hybrid_dcf_plus_comps;38,0348;13,23;1,8749;0,95;36,5742;13,5998;99,5806;-14,7227;47;{'fcf_per_share': 3.56, 'base_growth': 0.06, 'discount_rate': 0.1337, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
PAGS;hybrid_dcf_plus_comps;65,6607;9,37;6,0076;0,95;33,3821;35,178;122,5981;127,8225;47;{'fcf_per_share': 4.3617, 'base_growth': 0.0909, 'discount_rate': 0.18, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
PEP;hybrid_dcf_plus_comps;151,5967;159,88;-0,051809;0,95;108,4393;187,1303;157,1854;252,4694;47;{'fcf_per_share': 5.5985, 'base_growth': 0.0372, 'discount_rate': 0.08, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
RACE;hybrid_dcf_plus_comps;277,6997;331,86;-0,163202;0,95;248,912;239,089;337,6482;332,3381;47;{'fcf_per_share': 12.0713, 'base_growth': 0.0647, 'discount_rate': 0.08, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
REMX;hybrid_dcf_plus_comps;;89,51;;0,21;;;;;8;{}
SGOV;hybrid_dcf_plus_comps;;100,52;;0,21;;;;;8;{}
SPOT;hybrid_dcf_plus_comps;278,8349;516,06;-0,459685;0,95;188,924;323,0027;448,0521;308,7475;47;{'fcf_per_share': 15.9841, 'base_growth': 0.1288, 'discount_rate': 0.1343, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
STZ;hybrid_dcf_plus_comps;247,2327;150,14;0,646681;0,95;188,9252;260,8517;284,6256;378,1149;47;{'fcf_per_share': 10.1494, 'base_growth': 0.02, 'discount_rate': 0.08, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
TLT;hybrid_dcf_plus_comps;;86,54;;0,21;;;;;8;{}
TSM;hybrid_dcf_plus_comps;183,1105;338,31;-0,458749;0,95;100,843;304,1146;168,3433;356,0207;47;{'fcf_per_share': 6.0077, 'base_growth': 0.18, 'discount_rate': 0.111, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
UBER;hybrid_dcf_plus_comps;85,4994;73,33;0,165953;0,95;76,954;73,0271;132,8098;63,3754;47;{'fcf_per_share': 4.7379, 'base_growth': 0.1179, 'discount_rate': 0.1032, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
UNH;hybrid_dcf_plus_comps;400,9136;282,09;0,421226;0,95;352,2038;387,4274;495,8267;450,2147;47;{'fcf_per_share': 17.7155, 'base_growth': 0.0486, 'discount_rate': 0.08, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
XLE;hybrid_dcf_plus_comps;;57,7;;0,21;;;;;8;{}
ZETA;hybrid_dcf_plus_comps;15,0713;17,84;-0,155195;0,95;13,2635;20,4938;21,2291;7,4644;47;{'fcf_per_share': 0.7582, 'base_growth': 0.18, 'discount_rate': 0.1076, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
ZVRA;hybrid_dcf_plus_comps;1,7442;9,98;-0,825235;0,8;-0,836798;9,98;;2,1115;47;{'fcf_per_share': -0.0414, 'base_growth': 0.18, 'discount_rate': 0.0967, 'terminal_growth': 0.025, 'risk_free_rate': 0.04, 'equity_risk_premium': 0.0423, 'damodaran_reference': 'https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html#2025'}
GPRK;hybrid_dcf_plus_comps;;8,77;;0,35;;;;;7;{}
ANDG;hybrid_dcf_plus_comps;;22,84;;0,35;;;;;7;{}
AMPY;hybrid_dcf_plus_comps;;6,54;;0,35;;;;;7;{}
LND;hybrid_dcf_plus_comps;;4,25;;0,35;;;;;7;{}
MOS;hybrid_dcf_plus_comps;;29,31;;0,35;;;;;7;{}
CIG;hybrid_dcf_plus_comps;;2,2;;0,35;;;;;7;{}
ABX;hybrid_dcf_plus_comps;;9,8;;0,35;;;;;7;{}
AXIA;hybrid_dcf_plus_comps;;10,94;;0,35;;;;;7;{}
